Aikaleima;Yö (kWh);Päivä (kWh)
01-01-2023 00:00;452.30;0.00
01-01-2023 01:00;427.40;0.00
01-01-2023 02:00;515.80;0.00
01-01-2023 03:00;425.70;0.00
01-01-2023 04:00;458.60;0.00
01-01-2023 05:00;432.50;0.00
01-01-2023 06:00;500.90;0.00
01-01-2023 07:00;0.00;483.40
01-01-2023 08:00;0.00;467.90
01-01-2023 09:00;0.00;457.20
01-01-2023 10:00;0.00;444.40
01-01-2023 11:00;0.00;449.50
01-01-2023 12:00;0.00;445.10
01-01-2023 13:00;0.00;469.20
01-01-2023 14:00;0.00;453.20
01-01-2023 15:00;0.00;484.00
01-01-2023 16:00;0.00;523.90
01-01-2023 17:00;0.00;487.40
01-01-2023 18:00;0.00;524.40
01-01-2023 19:00;0.00;530.40
01-01-2023 20:00;0.00;524.40
01-01-2023 21:00;0.00;473.30
01-01-2023 22:00;452.20;0.00
01-01-2023 23:00;479.60;0.00
02-01-2023 00:00;479.90;0.00
02-01-2023 01:00;472.40;0.00
02-01-2023 02:00;436.40;0.00
02-01-2023 03:00;538.10;0.00
02-01-2023 04:00;494.80;0.00
02-01-2023 05:00;517.40;0.00
02-01-2023 06:00;652.70;0.00
02-01-2023 07:00;0.00;791.80
02-01-2023 08:00;0.00;915.50
02-01-2023 09:00;0.00;966.50
02-01-2023 10:00;0.00;942.80
02-01-2023 11:00;0.00;938.00
02-01-2023 12:00;0.00;883.70
02-01-2023 13:00;0.00;966.80
02-01-2023 14:00;0.00;993.80
02-01-2023 15:00;0.00;891.50
02-01-2023 16:00;0.00;745.80
02-01-2023 17:00;0.00;750.10
02-01-2023 18:00;0.00;701.20
02-01-2023 19:00;0.00;657.30
02-01-2023 20:00;0.00;609.70
02-01-2023 21:00;0.00;588.80
02-01-2023 22:00;534.50;0.00
02-01-2023 23:00;490.70;0.00
03-01-2023 00:00;476.00;0.00
03-01-2023 01:00;470.40;0.00
03-01-2023 02:00;529.90;0.00
