Pvm,Lämpötila
2023.1.1,0.2
2023.1.2,-4.8
2023.1.3,-4.9
2023.1.4,-8.7
2023.1.5,-11.1
2023.1.6,-7.8
2023.1.7,-10.4
2023.1.8,-12.4
2023.1.9,-9.7
2023.1.10,-7.5
2023.1.11,0.1
2023.1.12,-1.4
2023.1.13,-0.2
2023.1.14,1.5
2023.1.15,1.2
2023.1.16,1.3
2023.1.17,0.4
2023.1.18,0.1
2023.1.19,0.0
2023.1.20,-1.4
2023.1.21,-6.1
2023.1.22,-6.1
2023.1.23,-6.5
2023.1.24,-1.6
2023.1.25,0.9
2023.1.26,1.2
2023.1.27,-4.4
2023.1.28,-3.2
2023.1.29,-1.5
2023.1.30,0.4
2023.1.31,-2.1
2023.2.1,-3.9
2023.2.2,-4.3
2023.2.3,-6.5
2023.2.4,-6.9
2023.2.5,-8.2
2023.2.6,-2.7
2023.2.7,-3.3
2023.2.8,0.6
2023.2.9,0.7
2023.2.10,-1.0
2023.2.11,-4.4
2023.2.12,-4.7
2023.2.13,1.4
2023.2.14,-0.3
2023.2.15,-0.5
2023.2.16,-0.7
2023.2.17,-1.3
2023.2.18,-3.7
2023.2.19,-5.4
2023.2.20,-7.2
2023.2.21,-10.2
2023.2.22,-16.3
2023.2.23,-10.8
2023.2.24,-3.6
2023.2.25,-5.6
2023.2.26,-8.3
2023.2.27,-7.2
2023.2.28,-0.2
2023.3.1,-2.9
2023.3.2,-0.4
2023.3.3,-0.8
2023.3.4,-2.2
2023.3.5,-3.5
2023.3.6,-6.9
2023.3.7,-12.0
2023.3.8,-8.0
2023.3.9,-10.3
2023.3.10,-9.3
2023.3.11,-8.8
2023.3.12,-6.0
2023.3.13,-5.2
2023.3.14,2.2
2023.3.15,1.5
2023.3.16,-2.3
2023.3.17,-3.2
2023.3.18,2.5
2023.3.19,1.2
2023.3.20,0.9
2023.3.21,0.5
2023.3.22,-1.1
2023.3.23,4.0
2023.3.24,2.7
2023.3.25,1.7
2023.3.26,-2.9
2023.3.27,-3.5
2023.3.28,-2.1
2023.3.29,-4.5
2023.3.30,-6.6
2023.3.31,-5.5
2023.4.1,-4.3
2023.4.2,-2.6
2023.4.3,-2.5
2023.4.4,-2.7
2023.4.5,1.3
2023.4.6,2.5
2023.4.7,3.3
2023.4.8,2.9
2023.4.9,5.0
2023.4.10,3.7
2023.4.11,5.4
2023.4.12,7.8
2023.4.13,2.7
2023.4.14,1.8
2023.4.15,2.6
2023.4.16,4.8
2023.4.17,4.8
2023.4.18,5.0
2023.4.19,5.8
2023.4.20,9.5
2023.4.21,9.8
2023.4.22,10.0
2023.4.23,8.5
2023.4.24,11.2
2023.4.25,11.9
2023.4.26,14.0
2023.4.27,7.0
2023.4.28,5.0
2023.4.29,3.6
2023.4.30,5.0
2023.5.1,5.5
2023.5.2,6.5
2023.5.3,5.3
2023.5.4,1.2
2023.5.5,1.3
2023.5.6,3.7
2023.5.7,7.0
2023.5.8,7.9
2023.5.9,10.2
2023.5.10,10.9
2023.5.11,14.2
2023.5.12,16.1
2023.5.13,16.4
2023.5.14,14.9
2023.5.15,15.7
2023.5.16,14.5
2023.5.17,12.1
2023.5.18,8.8
2023.5.19,10.6
2023.5.20,14.2
2023.5.21,15.1
2023.5.22,15.7
2023.5.23,14.5
2023.5.24,17.0
2023.5.25,14.4
2023.5.26,9.8
2023.5.27,8.6
2023.5.28,11.1
2023.5.29,11.4
2023.5.30,10.3
2023.5.31,10.0
2023.6.1,8.5
2023.6.2,4.4
2023.6.3,8.4
2023.6.4,10.1
2023.6.5,12.3
2023.6.6,12.5
2023.6.7,11.3
2023.6.8,10.5
2023.6.9,10.2
2023.6.10,10.6
2023.6.11,13.7
2023.6.12,15.6
2023.6.13,17.5
2023.6.14,17.9
2023.6.15,19.9
2023.6.16,21.6
2023.6.17,20.2
2023.6.18,17.2
2023.6.19,18.1
2023.6.20,20.7
2023.6.21,20.8
2023.6.22,20.0
2023.6.23,20.3
2023.6.24,18.7
2023.6.25,17.0
2023.6.26,19.4
2023.6.27,19.8
2023.6.28,20.6
2023.6.29,22.2
2023.6.30,21.8
2023.7.1,16.9
2023.7.2,15.1
2023.7.3,15.1
2023.7.4,14.4
2023.7.5,14.5
2023.7.6,15.8
2023.7.7,16.8
2023.7.8,15.8
2023.7.9,14.1
2023.7.10,15.4
2023.7.11,15.1
2023.7.12,17.7
2023.7.13,18.7
2023.7.14,18.6
2023.7.15,20.0
2023.7.16,19.6
2023.7.17,19.6
2023.7.18,16.8
2023.7.19,16.9
2023.7.20,17.1
2023.7.21,16.4
2023.7.22,16.6
2023.7.23,15.5
2023.7.24,14.8
2023.7.25,17.3
2023.7.26,16.8
2023.7.27,17.2
2023.7.28,14.0
2023.7.29,15.1
2023.7.30,18.3
2023.7.31,17.4
2023.8.1,18.8
2023.8.2,19.6
2023.8.3,19.2
2023.8.4,18.3
2023.8.5,18.6
2023.8.6,18.6
2023.8.7,25.1
2023.8.8,20.8
2023.8.9,17.4
2023.8.10,17.0
2023.8.11,17.4
2023.8.12,18.5
2023.8.13,17.2
2023.8.14,17.9
2023.8.15,19.2
2023.8.16,19.9
2023.8.17,19.6
2023.8.18,16.0
2023.8.19,14.3
2023.8.20,15.1
2023.8.21,15.1
2023.8.22,15.1
2023.8.23,15.5
2023.8.24,15.0
2023.8.25,14.9
2023.8.26,15.9
2023.8.27,15.3
2023.8.28,15.2
2023.8.29,15.6
2023.8.30,14.3
2023.8.31,18.5
2023.9.1,16.7
2023.9.2,15.7
2023.9.3,15.2
2023.9.4,14.1
2023.9.5,15.5
2023.9.6,11.6
2023.9.7,12.2
2023.9.8,14.4
2023.9.9,14.4
2023.9.10,15.7
2023.9.11,16.0
2023.9.12,18.1
2023.9.13,17.0
2023.9.14,13.3
2023.9.15,10.4
2023.9.16,12.6
2023.9.17,11.7
2023.9.18,9.4
2023.9.19,11.8
2023.9.20,13.7
2023.9.21,15.7
2023.9.22,16.6
2023.9.23,16.2
2023.9.24,13.7
2023.9.25,10.8
